===== 07_FERRAMENTAS_COMANDOS_INSTALADOS =====

Name                                            CommandType Source                                  
Get-AssignedAccess                                 Function AssignedAccess                          
Get-AuthenticodeSignature                            Cmdlet Microsoft.PowerShell.Security           
Get-AutologgerConfig                               Function EventTracingManagement                  
Get-BCClientConfiguration                          Function BranchCache                             
Get-BCContentServerConfiguration                   Function BranchCache                             
Get-BCDataCache                                    Function BranchCache                             
Get-BCDataCacheExtension                           Function BranchCache                             
Get-BcdEntry                                         Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Get-BcdEntryDebugSettings                            Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Get-BcdEntryHypervisorSettings                       Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Get-BcdStore                                         Cmdlet Microsoft.Windows.Bcd.Cmdlets           
Get-BCHashCache                                    Function BranchCache                             
Get-BCHostedCacheServerConfiguration               Function BranchCache                             
Get-BCNetworkConfiguration                         Function BranchCache                             
Get-BCStatus                                       Function BranchCache                             
Get-BitLockerVolume                                Function BitLocker                               
Get-BitsTransfer                                     Cmdlet BitsTransfer                            
Get-Certificate                                      Cmdlet PKI                                     
Get-CertificateAutoEnrollmentPolicy                  Cmdlet PKI                                     
Get-CertificateEnrollmentPolicyServer                Cmdlet PKI                                     
Get-CertificateNotificationTask                      Cmdlet PKI                                     
Get-ChildItem                                        Cmdlet Microsoft.PowerShell.Management         
Get-CimAssociatedInstance                            Cmdlet CimCmdlets                              
Get-CimClass                                         Cmdlet CimCmdlets                              
Get-CimInstance                                      Cmdlet CimCmdlets                              
Get-CimSession                                       Cmdlet CimCmdlets                              
Get-CIPolicy                                         Cmdlet ConfigCI                                
Get-CIPolicyIdInfo                                   Cmdlet ConfigCI                                
Get-CIPolicyInfo                                     Cmdlet ConfigCI                                
Get-Clipboard                                        Cmdlet Microsoft.PowerShell.Management         
Get-ClusteredScheduledTask                         Function ScheduledTasks                          
Get-CmsMessage                                       Cmdlet Microsoft.PowerShell.Security           
Get-Command                                          Cmdlet Microsoft.PowerShell.Core               
Get-ComputerInfo                                     Cmdlet Microsoft.PowerShell.Management         
Get-ComputerRestorePoint                             Cmdlet Microsoft.PowerShell.Management         
Get-Content                                          Cmdlet Microsoft.PowerShell.Management         
Get-ControlPanelItem                                 Cmdlet Microsoft.PowerShell.Management         
Get-Counter                                          Cmdlet Microsoft.PowerShell.Diagnostics        
Get-Credential                                       Cmdlet Microsoft.PowerShell.Security           
Get-Culture                                          Cmdlet Microsoft.PowerShell.Utility            
Get-DAClientExperienceConfiguration                Function DirectAccessClientComponents            
Get-DAConnectionStatus                             Function NetworkConnectivityStatus               
Get-DAEntryPointTableItem                          Function DirectAccessClientComponents            
Get-DAPolicyChange                                   Cmdlet NetSecurity                             
Get-Date                                             Cmdlet Microsoft.PowerShell.Utility            
Get-DedupProperties                                Function Storage                                 
Get-DeliveryOptimizationLog                          Cmdlet DeliveryOptimization                    
Get-DeliveryOptimizationLogAnalysis                  Cmdlet DeliveryOptimization                    
Get-DeliveryOptimizationPerfSnap                   Function DeliveryOptimization                    
Get-DeliveryOptimizationPerfSnapThisMonth          Function DeliveryOptimization                    
Get-DeliveryOptimizationStatus                     Function DeliveryOptimization                    
Get-Disk                                           Function Storage                                 
Get-DiskImage                                      Function Storage                                 
Get-DiskSNV                                           Alias VMDirectStorage                         
Get-DiskSNV                                           Alias Storage                                 
Get-DiskStorageNodeView                            Function Storage                                 
Get-DnsClient                                      Function DnsClient                               
Get-DnsClientCache                                 Function DnsClient                               
Get-DnsClientDohServerAddress                      Function DnsClient                               
Get-DnsClientGlobalSetting                         Function DnsClient                               
Get-DnsClientNrptGlobal                            Function DnsClient                               
Get-DnsClientNrptPolicy                            Function DnsClient                               
Get-DnsClientNrptRule                              Function DnsClient                               
Get-DnsClientServerAddress                         Function DnsClient                               
Get-DOConfig                                       Function DeliveryOptimization                    
Get-DODownloadMode                                 Function DeliveryOptimization                    
Get-DOPercentageMaxBackgroundBandwidth             Function DeliveryOptimization                    
Get-DOPercentageMaxForegroundBandwidth             Function DeliveryOptimization                    
Get-DscConfiguration                               Function PSDesiredStateConfiguration             
Get-DscConfigurationStatus                         Function PSDesiredStateConfiguration             
Get-DscLocalConfigurationManager                   Function PSDesiredStateConfiguration             
Get-DscResource                                    Function PSDesiredStateConfiguration             
Get-Dtc                                            Function MsDtc                                   
Get-DtcAdvancedHostSetting                         Function MsDtc                                   
Get-DtcAdvancedSetting                             Function MsDtc                                   
Get-DtcClusterDefault                              Function MsDtc                                   
Get-DtcClusterTMMapping                            Function MsDtc                                   
Get-DtcDefault                                     Function MsDtc                                   
Get-DtcLog                                         Function MsDtc                                   
Get-DtcNetworkSetting                              Function MsDtc                                   
Get-DtcTransaction                                 Function MsDtc                                   
Get-DtcTransactionsStatistics                      Function MsDtc                                   
Get-DtcTransactionsTraceSession                    Function MsDtc                                   
Get-DtcTransactionsTraceSetting                    Function MsDtc                                   
Get-EtwTraceProvider                               Function EventTracingManagement                  
Get-EtwTraceSession                                Function EventTracingManagement                  
Get-Event                                            Cmdlet Microsoft.PowerShell.Utility            
Get-EventLog                                         Cmdlet Microsoft.PowerShell.Management         
Get-EventSubscriber                                  Cmdlet Microsoft.PowerShell.Utility            
Get-ExecutionPolicy                                  Cmdlet Microsoft.PowerShell.Security           
Get-FileHash                                       Function Microsoft.PowerShell.Utility            
Get-FileIntegrity                                  Function Storage                                 
Get-FileShare                                      Function Storage                                 
Get-FileShareAccessControlEntry                    Function Storage                                 
Get-FileStorageTier                                Function Storage                                 
Get-FormatData                                       Cmdlet Microsoft.PowerShell.Utility            
Get-Help                                             Cmdlet Microsoft.PowerShell.Core               
Get-History                                          Cmdlet Microsoft.PowerShell.Core               
Get-HnsEndpoint                                    Function HostNetworkingService                   
Get-HnsEndpointAddresses                           Function HostNetworkingService                   
Get-HnsEndpointStats                               Function HostNetworkingService                   
Get-HnsNamespace                                   Function HostNetworkingService                   
Get-HnsNetwork                                     Function HostNetworkingService                   
Get-HnsPolicyList                                  Function HostNetworkingService                   
Get-Host                                             Cmdlet Microsoft.PowerShell.Utility            
Get-HotFix                                           Cmdlet Microsoft.PowerShell.Management         
Get-InitiatorId                                    Function Storage                                 
Get-InitiatorPort                                  Function Storage                                 
Get-InstalledLanguage                                Cmdlet LanguagePackManagement                  
Get-InstalledModule                                Function PowerShellGet                           
Get-InstalledScript                                Function PowerShellGet                           
Get-IscsiConnection                                Function iSCSI                                   
Get-IscsiSession                                   Function iSCSI                                   
Get-IscsiTarget                                    Function iSCSI                                   
Get-IscsiTargetPortal                              Function iSCSI                                   
Get-IseSnippet                                     Function ISE                                     
Get-Item                                             Cmdlet Microsoft.PowerShell.Management         
Get-ItemProperty                                     Cmdlet Microsoft.PowerShell.Management         
Get-ItemPropertyValue                                Cmdlet Microsoft.PowerShell.Management         
Get-Job                                              Cmdlet Microsoft.PowerShell.Core               
Get-JobTrigger                                       Cmdlet PSScheduledJob                          
Get-KdsConfiguration                                 Cmdlet Kds                                     
Get-KdsRootKey                                       Cmdlet Kds                                     
Get-KmsLicenseInfo                                 Function OSLicense                               
Get-Language                                          Alias LanguagePackManagement                  
Get-LapsAADPassword                                Function LAPS                                    
Get-LapsADPassword                                   Cmdlet LAPS                                    
Get-LapsDiagnostics                                Function LAPS                                    
Get-LocalGroup                                       Cmdlet Microsoft.PowerShell.LocalAccounts      
Get-LocalGroupMember                                 Cmdlet Microsoft.PowerShell.LocalAccounts      
Get-LocalUser                                        Cmdlet Microsoft.PowerShell.LocalAccounts      
Get-Location                                         Cmdlet Microsoft.PowerShell.Management         
Get-LogProperties                                  Function PSDiagnostics                           
Get-MaskingSet                                     Function Storage                                 
Get-Member                                           Cmdlet Microsoft.PowerShell.Utility            
Get-MMAgent                                        Function MMAgent                                 
Get-MockDynamicParameters                          Function Pester                                  
Get-Module                                           Cmdlet Microsoft.PowerShell.Core               
Get-MpBehavioralNetworkBlockingRules               Function Defender                                
Get-MpBehavioralNetworkBlockingRules               Function ConfigDefender                          
Get-MpComputerStatus                               Function Defender                                
Get-MpComputerStatus                               Function ConfigDefender                          
Get-MpPerformanceReport                            Function DefenderPerformance                     
Get-MpPerformanceReport                            Function ConfigDefenderPerformance               
Get-MpPreference                                   Function Defender                                
Get-MpPreference                                   Function ConfigDefender                          
Get-MpThreat                                       Function Defender                                
Get-MpThreat                                       Function ConfigDefender                          
Get-MpThreatCatalog                                Function Defender                                
Get-MpThreatCatalog                                Function ConfigDefender                          
Get-MpThreatDetection                              Function Defender                                
Get-MpThreatDetection                              Function ConfigDefender                          
Get-MsixDefaultVolume                                 Alias Appx                                    
Get-MsixLastError                                     Alias Appx                                    
Get-MsixLog                                           Alias Appx                                    
Get-MsixPackage                                       Alias Appx                                    
Get-MsixPackageAutoUpdateSettings                     Alias Appx                                    
Get-MsixPackageDefaultVolume                          Alias Appx                                    
Get-MsixPackageLastError                              Alias Appx                                    
Get-MsixPackageLog                                    Alias Appx                                    
Get-MsixPackageManifest                               Alias Appx                                    
Get-MsixPackageVolume                                 Alias Appx                                    
Get-MsixVolume                                        Alias Appx                                    
Get-NCSIPolicyConfiguration                        Function NetworkConnectivityStatus               
Get-Net6to4Configuration                           Function NetworkTransition                       
Get-NetAdapter                                     Function NetAdapter                              
Get-NetAdapterAdvancedProperty                     Function NetAdapter                              
Get-NetAdapterBinding                              Function NetAdapter                              
Get-NetAdapterChecksumOffload                      Function NetAdapter                              
Get-NetAdapterDataPathConfiguration                Function NetAdapter                              
Get-NetAdapterEncapsulatedPacketTaskOffload        Function NetAdapter                              
Get-NetAdapterHardwareInfo                         Function NetAdapter                              
Get-NetAdapterIPsecOffload                         Function NetAdapter                              
Get-NetAdapterLso                                  Function NetAdapter                              
Get-NetAdapterPacketDirect                         Function NetAdapter                              
Get-NetAdapterPowerManagement                      Function NetAdapter                              
Get-NetAdapterQos                                  Function NetAdapter                              
Get-NetAdapterRdma                                 Function NetAdapter                              
Get-NetAdapterRsc                                  Function NetAdapter                              
Get-NetAdapterRss                                  Function NetAdapter                              
Get-NetAdapterSriov                                Function NetAdapter                              
Get-NetAdapterSriovVf                              Function NetAdapter                              
Get-NetAdapterStatistics                           Function NetAdapter                              
Get-NetAdapterUro                                  Function NetAdapter                              
Get-NetAdapterUso                                  Function NetAdapter                              
Get-NetAdapterVmq                                  Function NetAdapter                              
Get-NetAdapterVMQQueue                             Function NetAdapter                              
Get-NetAdapterVPort                                Function NetAdapter                              
Get-NetCompartment                                 Function NetTCPIP                                
Get-NetConnectionProfile                           Function NetConnection                           
Get-NetDnsTransitionConfiguration                  Function NetworkTransition                       
Get-NetDnsTransitionMonitoring                     Function NetworkTransition                       
Get-NetEventNetworkAdapter                         Function NetEventPacketCapture                   
Get-NetEventPacketCaptureProvider                  Function NetEventPacketCapture                   
Get-NetEventProvider                               Function NetEventPacketCapture                   
Get-NetEventSession                                Function NetEventPacketCapture                   
Get-NetEventVFPProvider                            Function NetEventPacketCapture                   
Get-NetEventVmNetworkAdapter                       Function NetEventPacketCapture                   
Get-NetEventVmSwitch                               Function NetEventPacketCapture                   
Get-NetEventVmSwitchProvider                       Function NetEventPacketCapture                   
Get-NetEventWFPCaptureProvider                     Function NetEventPacketCapture                   
Get-NetFirewallAddressFilter                       Function NetSecurity                             
Get-NetFirewallApplicationFilter                   Function NetSecurity                             
Get-NetFirewallDynamicKeywordAddress               Function NetSecurity                             
Get-NetFirewallHyperVPort                          Function NetSecurity                             
Get-NetFirewallHyperVProfile                       Function NetSecurity                             
Get-NetFirewallHyperVRule                          Function NetSecurity                             
Get-NetFirewallHyperVVMCreator                     Function NetSecurity                             
Get-NetFirewallHyperVVMSetting                     Function NetSecurity                             
Get-NetFirewallInterfaceFilter                     Function NetSecurity                             
Get-NetFirewallInterfaceTypeFilter                 Function NetSecurity                             
Get-NetFirewallPortFilter                          Function NetSecurity                             
Get-NetFirewallProfile                             Function NetSecurity                             
Get-NetFirewallRule                                Function NetSecurity                             
Get-NetFirewallSecurityFilter                      Function NetSecurity                             
Get-NetFirewallServiceFilter                       Function NetSecurity                             
Get-NetFirewallSetting                             Function NetSecurity                             
Get-NetIPAddress                                   Function NetTCPIP                                
Get-NetIPConfiguration                             Function NetTCPIP                                
Get-NetIPHttpsConfiguration                        Function NetworkTransition                       
Get-NetIPHttpsState                                Function NetworkTransition                       
Get-NetIPInterface                                 Function NetTCPIP                                
Get-NetIPsecDospSetting                            Function NetSecurity                             
Get-NetIPsecMainModeCryptoSet                      Function NetSecurity                             
Get-NetIPsecMainModeRule                           Function NetSecurity                             
Get-NetIPsecMainModeSA                             Function NetSecurity                             
Get-NetIPsecPhase1AuthSet                          Function NetSecurity                             
Get-NetIPsecPhase2AuthSet                          Function NetSecurity                             
Get-NetIPsecQuickModeCryptoSet                     Function NetSecurity                             
Get-NetIPsecQuickModeSA                            Function NetSecurity                             
Get-NetIPsecRule                                   Function NetSecurity                             
Get-NetIPv4Protocol                                Function NetTCPIP                                
Get-NetIPv6Protocol                                Function NetTCPIP                                
Get-NetIsatapConfiguration                         Function NetworkTransition                       
Get-NetLbfoTeam                                    Function NetLbfo                                 
Get-NetLbfoTeamMember                              Function NetLbfo                                 
Get-NetLbfoTeamNic                                 Function NetLbfo                                 
Get-NetNat                                         Function NetNat                                  
Get-NetNatExternalAddress                          Function NetNat                                  
Get-NetNatGlobal                                   Function NetNat                                  
Get-NetNatSession                                  Function NetNat                                  
Get-NetNatStaticMapping                            Function NetNat                                  
Get-NetNatTransitionConfiguration                  Function NetworkTransition                       
Get-NetNatTransitionMonitoring                     Function NetworkTransition                       
Get-NetNeighbor                                    Function NetTCPIP                                
Get-NetOffloadGlobalSetting                        Function NetTCPIP                                
Get-NetPrefixPolicy                                Function NetTCPIP                                
Get-NetQosPolicy                                   Function NetQos                                  
Get-NetRoute                                       Function NetTCPIP                                
Get-NetSwitchTeam                                  Function NetSwitchTeam                           
Get-NetSwitchTeamMember                            Function NetSwitchTeam                           
Get-NetTCPConnection                               Function NetTCPIP                                
Get-NetTCPSetting                                  Function NetTCPIP                                
Get-NetTeredoConfiguration                         Function NetworkTransition                       
Get-NetTeredoState                                 Function NetworkTransition                       
Get-NetTransportFilter                             Function NetTCPIP                                
Get-NetUDPEndpoint                                 Function NetTCPIP                                
Get-NetUDPSetting                                  Function NetTCPIP                                
Get-NetView                                        Function Get-NetView                             
Get-NetworkSwitchEthernetPort                      Function NetworkSwitchManager                    
Get-NetworkSwitchFeature                           Function NetworkSwitchManager                    
Get-NetworkSwitchGlobalData                        Function NetworkSwitchManager                    
Get-NetworkSwitchVlan                              Function NetworkSwitchManager                    
Get-NonRemovableAppsPolicy                           Cmdlet Dism                                    
Get-OdbcDriver                                     Function Wdac                                    
Get-OdbcDsn                                        Function Wdac                                    
Get-OdbcPerfCounter                                Function Wdac                                    
Get-OffloadDataTransferSetting                     Function Storage                                 
Get-OperationValidation                            Function Microsoft.PowerShell.Operation.Valida...
Get-OSConfiguration                                  Cmdlet OsConfiguration                         
Get-OsConfigurationDocument                          Cmdlet OsConfiguration                         
Get-OsConfigurationDocumentContent                   Cmdlet OsConfiguration                         
Get-OsConfigurationDocumentResult                    Cmdlet OsConfiguration                         
Get-OsConfigurationProperty                          Cmdlet OsConfiguration                         
Get-OSConfigurationScenarioDefinition                Cmdlet OsConfiguration                         
Get-OSConfigurationScenarioDefinitionInfo            Cmdlet OsConfiguration                         
Get-OSLicenseInfo                                  Function OSLicense                               
Get-Package                                          Cmdlet PackageManagement                       
Get-PackageProvider                                  Cmdlet PackageManagement                       
Get-PackageSource                                    Cmdlet PackageManagement                       
Get-Partition                                      Function Storage                                 
Get-PartitionSupportedSize                         Function Storage                                 
Get-PcsvDevice                                     Function PcsvDevice                              
Get-PcsvDeviceLog                                  Function PcsvDevice                              
Get-PfxCertificate                                   Cmdlet Microsoft.PowerShell.Security           
Get-PfxData                                          Cmdlet PKI                                     
Get-PhysicalDisk                                   Function Storage                                 
Get-PhysicalDiskSNV                                   Alias Storage                                 
Get-PhysicalDiskSNV                                   Alias VMDirectStorage                         
Get-PhysicalDiskStorageNodeView                    Function Storage                                 
Get-PhysicalExtent                                 Function Storage                                 
Get-PhysicalExtentAssociation                      Function Storage                                 
Get-PmemDedicatedMemory                              Cmdlet PersistentMemory                        
Get-PmemDisk                                         Cmdlet PersistentMemory                        
Get-PmemPhysicalDevice                               Cmdlet PersistentMemory                        
Get-PmemUnusedRegion                                 Cmdlet PersistentMemory                        
Get-PnpDevice                                      Function PnpDevice                               
Get-PnpDeviceProperty                              Function PnpDevice                               
Get-PreferredLanguage                                 Alias LanguagePackManagement                  
Get-PrintConfiguration                             Function PrintManagement                         
Get-Printer                                        Function PrintManagement                         
Get-PrinterDriver                                  Function PrintManagement                         
Get-PrinterPort                                    Function PrintManagement                         
Get-PrinterProperty                                Function PrintManagement                         
Get-PrintJob                                       Function PrintManagement                         
Get-Process                                          Cmdlet Microsoft.PowerShell.Management         
Get-ProcessMitigation                                Cmdlet ProcessMitigations                      
Get-ProvisionedAppPackage                             Alias Dism                                    
Get-ProvisionedAppSharedPackageContainer              Alias Dism                                    
Get-ProvisionedAppxPackage                            Alias Dism                                    
Get-ProvisioningPackage                              Cmdlet Provisioning                            
Get-PSBreakpoint                                     Cmdlet Microsoft.PowerShell.Utility            
Get-PSCallStack                                      Cmdlet Microsoft.PowerShell.Utility            
Get-PSDrive                                          Cmdlet Microsoft.PowerShell.Management         
Get-PSHostProcessInfo                                Cmdlet Microsoft.PowerShell.Core               
Get-PSProvider                                       Cmdlet Microsoft.PowerShell.Management         
Get-PSReadLineKeyHandler                             Cmdlet PSReadLine                              
Get-PSReadLineOption                                 Cmdlet PSReadLine                              
Get-PSRepository                                   Function PowerShellGet                           
Get-PSSession                                        Cmdlet Microsoft.PowerShell.Core               
Get-PSSessionCapability                              Cmdlet Microsoft.PowerShell.Core               
Get-PSSessionConfiguration                           Cmdlet Microsoft.PowerShell.Core               
Get-PSSnapin                                         Cmdlet Microsoft.PowerShell.Core               
Get-Random                                           Cmdlet Microsoft.PowerShell.Utility            
Get-RecoveryManagementPluginAltitude                 Cmdlet Dism                                    
Get-RecoveryManagementPluginInfo                     Cmdlet Dism                                    
Get-RecoveryManagementPlugins                        Cmdlet Dism                                    
Get-RecoveryRemoteManagementStatus                   Cmdlet Dism                                    
Get-ReFSDedupSchedule                                Cmdlet Microsoft.ReFsDedup.Commands            
Get-ReFSDedupScrubSchedule                           Cmdlet Microsoft.ReFsDedup.Commands            
Get-ReFSDedupStatus                                  Cmdlet Microsoft.ReFsDedup.Commands            
Get-ResiliencySetting                              Function Storage                                 
Get-Runspace                                         Cmdlet Microsoft.PowerShell.Utility            
Get-RunspaceDebug                                    Cmdlet Microsoft.PowerShell.Utility            
Get-ScheduledJob                                     Cmdlet PSScheduledJob                          
Get-ScheduledJobOption                               Cmdlet PSScheduledJob                          
Get-ScheduledTask                                  Function ScheduledTasks                          
Get-ScheduledTaskInfo                              Function ScheduledTasks                          
Get-SecureBootPolicy                                 Cmdlet SecureBoot                              
Get-SecureBootSVN                                    Cmdlet SecureBoot                              
Get-SecureBootUEFI                                   Cmdlet SecureBoot                              
Get-Service                                          Cmdlet Microsoft.PowerShell.Management         
Get-SmbBandWidthLimit                              Function SmbShare                                
Get-SmbClientAccessToServer                        Function SmbShare                                
Get-SmbClientCertificateMapping                    Function SmbShare                                
Get-SmbClientConfiguration                         Function SmbShare                                
Get-SmbClientNetworkInterface                      Function SmbShare                                
Get-SmbConnection                                  Function SmbShare                                
Get-SmbDelegation                                  Function SmbShare                                
Get-SmbGlobalMapping                               Function SmbShare                                
Get-SmbMapping                                     Function SmbShare                                
Get-SmbMultichannelConnection                      Function SmbShare                                
Get-SmbMultichannelConstraint                      Function SmbShare                                
Get-SmbOpenFile                                    Function SmbShare                                
Get-SmbServerAlternativePort                       Function SmbShare                                
Get-SmbServerCertificateMapping                    Function SmbShare                                
Get-SmbServerCertProps                             Function SmbShare                                
Get-SmbServerConfiguration                         Function SmbShare                                
Get-SmbServerNetworkInterface                      Function SmbShare                                
Get-SmbSession                                     Function SmbShare                                
Get-SmbShare                                       Function SmbShare                                
Get-SmbShareAccess                                 Function SmbShare                                
Get-SmbWitnessClient                               Function SmbWitness                              
Get-StartApps                                      Function StartLayout                             
Get-StorageAdvancedProperty                        Function Storage                                 
Get-StorageBusBinding                              Function StorageBusCache                         
Get-StorageBusCache                                Function StorageBusCache                         
Get-StorageBusClientDevice                         Function StorageBusCache                         
Get-StorageBusDisk                                 Function StorageBusCache                         
Get-StorageBusTargetCacheStore                     Function StorageBusCache                         
Get-StorageBusTargetCacheStoresInstance            Function StorageBusCache                         
Get-StorageBusTargetDevice                         Function StorageBusCache                         
Get-StorageBusTargetDeviceInstance                 Function StorageBusCache                         
Get-StorageChassis                                 Function Storage                                 
Get-StorageDataCollection                          Function Storage                                 
Get-StorageDiagnosticInfo                          Function Storage                                 
Get-StorageEnclosure                               Function Storage                                 
Get-StorageEnclosureSNV                               Alias VMDirectStorage                         
Get-StorageEnclosureSNV                               Alias Storage                                 
Get-StorageEnclosureStorageNodeView                Function Storage                                 
Get-StorageEnclosureVendorData                     Function Storage                                 
Get-StorageExtendedStatus                          Function Storage                                 
Get-StorageFaultDomain                             Function Storage                                 
Get-StorageFileServer                              Function Storage                                 
Get-StorageFirmwareInformation                     Function Storage                                 
Get-StorageHealthAction                            Function Storage                                 
Get-StorageHealthReport                            Function Storage                                 
Get-StorageHealthSetting                           Function Storage                                 
Get-StorageHistory                                 Function Storage                                 
Get-StorageJob                                     Function Storage                                 
Get-StorageNode                                    Function Storage                                 
Get-StoragePool                                    Function Storage                                 
Get-StorageProvider                                Function Storage                                 
Get-StorageRack                                    Function Storage                                 
Get-StorageReliabilityCounter                      Function Storage                                 
Get-StorageScaleUnit                               Function Storage                                 
Get-StorageSetting                                 Function Storage                                 
Get-StorageSite                                    Function Storage                                 
Get-StorageSubSystem                               Function Storage                                 
Get-StorageTier                                    Function Storage                                 
Get-StorageTierSupportedSize                       Function Storage                                 
Get-SubscriptionLicenseInfo                        Function OSLicense                               
Get-SupportedClusterSizes                          Function Storage                                 
Get-SupportedFileSystems                           Function Storage                                 
Get-SystemDriver                                     Cmdlet ConfigCI                                
Get-SystemLanguage                                    Alias LanguagePackManagement                  
Get-SystemPreferredUILanguage                        Cmdlet LanguagePackManagement                  
Get-TargetPort                                     Function Storage                                 
Get-TargetPortal                                   Function Storage                                 
Get-TestDriveItem                                  Function Pester                                  
Get-TimeZone                                         Cmdlet Microsoft.PowerShell.Management         
Get-TlsCipherSuite                                   Cmdlet TLS                                     
Get-TlsEccCurve                                      Cmdlet TLS                                     
Get-Tpm                                              Cmdlet TrustedPlatformModule                   
Get-TpmEndorsementKeyInfo                            Cmdlet TrustedPlatformModule                   
Get-TpmSupportedFeature                              Cmdlet TrustedPlatformModule                   
Get-TraceSource                                      Cmdlet Microsoft.PowerShell.Utility            
Get-Transaction                                      Cmdlet Microsoft.PowerShell.Management         
Get-TroubleshootingPack                              Cmdlet TroubleshootingPack                     
Get-TrustedProvisioningCertificate                   Cmdlet Provisioning                            
Get-TypeData                                         Cmdlet Microsoft.PowerShell.Utility            
Get-UevAppxPackage                                   Cmdlet UEV                                     
Get-UevConfiguration                                 Cmdlet UEV                                     
Get-UevStatus                                        Cmdlet UEV                                     
Get-UevTemplate                                      Cmdlet UEV                                     
Get-UevTemplateProgram                               Cmdlet UEV                                     
Get-UICulture                                        Cmdlet Microsoft.PowerShell.Utility            
Get-Unique                                           Cmdlet Microsoft.PowerShell.Utility            
Get-Variable                                         Cmdlet Microsoft.PowerShell.Utility            
Get-Verb                                           Function                                         
Get-VirtualDisk                                    Function Storage                                 
Get-VirtualDiskSupportedSize                       Function Storage                                 
Get-VMDirectVirtualDisk                            Function VMDirectStorage                         
Get-Volume                                         Function Storage                                 
Get-VolumeCorruptionCount                          Function Storage                                 
Get-VolumeScrubPolicy                              Function Storage                                 
Get-VpnConnection                                  Function VpnClient                               
Get-VpnConnectionTrigger                           Function VpnClient                               
Get-WdacBidTrace                                   Function Wdac                                    
Get-WheaMemoryPolicy                                 Cmdlet Whea                                    
Get-WIMBootEntry                                     Cmdlet Dism                                    
Get-WinAcceptLanguageFromLanguageListOptOut          Cmdlet International                           
Get-WinCultureFromLanguageListOptOut                 Cmdlet International                           
Get-WinDefaultInputMethodOverride                    Cmdlet International                           
Get-WindowsCapability                                Cmdlet Dism                                    
Get-WindowsDeveloperLicense                          Cmdlet WindowsDeveloperLicense                 
